  0.090000     62.5406     12.0000     70.3744
  0.170000     84.6181      8.0000     73.4139
  0.179000     74.2640      4.0000     73.7747
  0.199000     72.7126      5.0000     74.5897
  0.270000     83.6391     14.0000     77.6307
  0.352000     83.0209     14.0000     81.4217
  0.380200     84.5121     13.5000     82.7925
  0.400000     83.9522     17.0000     83.7750
  0.400400     74.8709     10.2000     83.7950
  0.424700     74.2145     11.2000     85.0235
  0.449700     84.6185     12.9000     86.3126
  0.478300     85.1588      9.0000     87.8183
  0.480000    105.2797     62.0000     87.9089
  0.593000    102.2887     13.0000     94.1784
  0.680000    100.5405      8.0000     99.3301
  0.781000    100.0508     12.0000    105.6440
  0.875000    109.8059     17.0000    111.8242
  0.880000     49.0814     40.0000    112.1608
  0.900000     84.7984     23.0000    113.5151
  1.037000    139.4375     20.0000    123.1167
  1.300000    161.9407     17.0000    143.0226
  1.363000    162.5627     33.6000    148.0569
  1.430000    171.2760     18.0000    153.5168
  1.530000    168.5317     14.0000    161.8626
  1.750000    136.7743     40.0000    181.0101
  1.965000    194.4822     50.4000    200.7017
