   0.31000    6.44429    0.00000
   0.36000    7.36091    0.00000
   0.40000    7.91042    0.00000
   0.44000    8.06283    0.00000
   0.48000    8.39318    0.00000
   0.52000    8.74075    0.00000
   0.56000    9.32945    0.00000
   0.59000    9.57634    0.00000
   0.64000   10.11963    0.00000
   0.31000 12007.63997    0.00000
   0.36000 13072.29468    0.00000
   0.40000 14168.34097    0.00000
   0.44000 13149.94207    0.00000
   0.48000 13262.80314    0.00000
   0.52000 13321.64804    0.00000
   0.56000 14014.61273    0.00000
   0.59000 15340.89056    0.00000
   0.64000 15155.17625    0.00000
