  0.090000     65.6118     12.0000     70.3744
  0.170000     76.2863      8.0000     73.4139
  0.179000     73.9946      4.0000     73.7747
  0.199000     75.7944      5.0000     74.5897
  0.270000     73.7957     14.0000     77.6307
  0.352000     88.2789     14.0000     81.4217
  0.380200     91.1567     13.5000     82.7925
  0.400000     96.1413     17.0000     83.7750
  0.400400     76.4884     10.2000     83.7950
  0.424700     84.6419     11.2000     85.0235
  0.449700     98.9941     12.9000     86.3126
  0.478300     88.7677      9.0000     87.8183
  0.480000     82.5959     62.0000     87.9089
  0.593000     95.5722     13.0000     94.1784
  0.680000    102.3441      8.0000     99.3301
  0.781000     93.5360     12.0000    105.6440
  0.875000    127.3648     17.0000    111.8242
  0.880000    115.6722     40.0000    112.1608
  0.900000     81.6731     23.0000    113.5151
  1.037000    100.5637     20.0000    123.1167
  1.300000     92.9510     17.0000    143.0226
  1.363000    127.3150     33.6000    148.0569
  1.430000    198.6648     18.0000    153.5168
  1.530000    168.2368     14.0000    161.8626
  1.750000    286.7139     40.0000    181.0101
  1.965000    163.8143     50.4000    200.7017
  2.340000    228.9980      7.0000    237.1733
